Jweller,Address,City,StateCode,Zip,Phone,URL
Saad Nick & Co," 3201 Montgomery Hwy Ste 1,"," Dothan,", AL , 36303,(334) 792-9522,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Abbeville-AL
Wicked Scents," 142 Single St Apt 4,"," Dothan,", AL , 36303,(334) 796-9742,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Abbeville-AL
Bradshaw's Manufacturing Jwlrs," 3850 W Main St # 602,"," Dothan,", AL , 36305,(334) 793-6363,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Abbeville-AL
Southern Wholesale Jewelers," 850 Highway 78 E,"," Jasper,", AL , 35501,(205) 221-2074,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bremen-AL
Young Jewelers," 401 19th St W,"," Jasper,", AL , 35501,(205) 530-6777,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bremen-AL
Zales," 300 Highway 78 E,"," Jasper,", AL , 35501,(205) 221-2860,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bremen-AL
Muellerhaus," 800 Shades Cliff Rd,"," Jasper,", AL , 35504,(205) 221-6576,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bremen-AL
Southern Carbon Fuels Inc," 850 Highway 78 E,"," Jasper,", AL , 35501,(205) 221-2074,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bremen-AL
Vickie Hill," 850 Highway 78 E,"," Jasper,", AL , 35501,(205) 221-2078,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bremen-AL
Murray's Jewelry," 300 Highway 78 E,"," Jasper,", AL , 35501,(205) 384-4784,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bremen-AL
Gold Rush Inc," 270 S Pine Dr,"," Jasper,", AL , 35504,(205) 221-5750,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bremen-AL
Big Mak's Pawn Shop," 4502 Highway 78 E,"," Jasper,", AL , 35501,(205) 384-3077,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bremen-AL
Murray's Jewelry," 105 Highway 78 W,"," Jasper,", AL , 35501,(205) 384-4784,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bremen-AL
Nick Sanders Jeweler," 401 19th St E,"," Jasper,", AL , 35501,(205) 221-2066,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bremen-AL
JB's Pawn," 645 Highway 195,"," Jasper,", AL , 35503,(205) 384-5000,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bremen-AL
Nick Sanders Jewelers," 1811 Highway 78 E # 109,"," Jasper,", AL , 35501,(205) 221-2066,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bremen-AL
Doug Doggett Jewelers," 215 Compass Way SW,"," Cullman,", AL , 35055,(256) 734-7883,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bremen-AL
Gold Connection," 971 US Highway 43,"," Winfield,", AL , 35594,(205) 487-4949,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brilliant-AL
Bead Shop," 25 Jackson Dr,"," Eldridge,", AL , 35554,(205) 471-2461,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brilliant-AL
Gold Mine Jewelry," 1801 11th Ave,"," Haleyville,", AL , 35565,(205) 486-4902,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brilliant-AL
Dollar Pawn Shop," 1801 11th Ave,"," Haleyville,", AL , 35565,(205) 486-7945,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brilliant-AL
Jewels & Shelias," 326 Walker St,"," Hackleburg,", AL , 35564,(205) 935-3271,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brilliant-AL
Vickie's Jewelry," 110 1st St SW,"," Hamilton,", AL , 35570,(205) 921-9977,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brilliant-AL
Solid Gold Jewelers," 112 County Highway 1,"," Hamilton,", AL , 35570,(205) 921-9339,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brilliant-AL
Town Square Jewelry & Gifts," 101 1st Ave SW,"," Hamilton,", AL , 35570,(205) 921-4489,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brilliant-AL
Solid Gold Jewelers," 112 1st St SW,"," Hamilton,", AL , 35570,(205) 921-9339,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brilliant-AL
Macee Leigh," 1151 Mount Hebron Road,"," Beaverton,", AL , 35544,(662) 305-5748,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brilliant-AL
ID EyeCandy," 33041 1st Ave. NW,"," Carbon Hill,", AL , 35549,(334) 806-6120,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brilliant-AL
Alabama Pawn & Cash Inc," 308 Temple Ave N,"," Fayette,", AL , 35555,(205) 932-5984,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brilliant-AL
Jewelry Bar," 417 10th St NW,"," Fayette,", AL , 35555,(205) 932-5255,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brilliant-AL
Alexander's Jewelry & Gifts," 1550 Temple Ave N,"," Fayette,", AL , 35555,(205) 932-4952,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brilliant-AL
Weaver's Apparel & Fine Jewelry," 115 Saint Joseph Ave,"," Brewton,", AL , 36426,(251) 867-4570,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brewton-AL
Treasure Chest," 111 Saint Joseph Ave,"," Brewton,", AL , 36426,(251) 867-9757,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brewton-AL
Len's Jewelers," 309 Palafox St,"," Flomaton,", AL , 36441,(251) 296-4574,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brewton-AL
Len's Jewelers," 22172 Highway 31,"," Flomaton,", AL , 36441,(251) 296-4574,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brewton-AL
Earle's Jewelers," 119 N Main St,"," Atmore,", AL , 36502,(251) 368-3629,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brewton-AL
State Line Pawn Shop," 300 E Church St Ste G,"," Atmore,", AL , 36502,(251) 368-5150,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brewton-AL
cottonwood," 118 Bruner Avenue,"," Evergreen,", AL , 36401,(251) 593-1894,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brewton-AL
AVON INDEPENDENT SALES REPRESENTATIVE," PO. Box 767,"," Excel,", AL , 36439,(251) 593-9430,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brewton-AL
Fresh Produce," 1403 S Highway 21 Byp,"," Monroeville,", AL , 36460,(251) 575-5192,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brewton-AL
Alabama Precious Metal," 801 S Alabama Ave,"," Monroeville,", AL , 36460,(251) 743-4398,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brewton-AL
Johnson Jewelers," 56 E Claiborne St,"," Monroeville,", AL , 36460,(251) 743-2277,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brewton-AL
Hutcherson Jewelers," 23 Mayfield St,"," Monroeville,", AL , 36460,(251) 743-3681,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brewton-AL
Cagle Jewelers & Goldsmithing," 101 S Cotton St,"," Andalusia,", AL , 36420,(334) 222-8888,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brewton-AL
Christopher's Diamonds and Fine Jewelry," 156 Covington Mall,"," Andalusia,", AL , 36420,(334) 222-4925,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brewton-AL
Paul's Diamond Ctr," 300 Colonial Promenade Pkwy Ste 300,"," Alabaster,", AL , 35007,(205) 664-4400,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brierfield-AL
Scott's Jewelry & Pawn," 873 1st St N,"," Alabaster,", AL , 35007,(205) 664-4032,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brierfield-AL
D & M Davis Inc," 2 Western RD,"," Woodstock,", AL , 35188,(205) 938-0904,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brierfield-AL
Michael's Jewelry & Pawn," 205 W College St,"," Columbiana,", AL , 35051,(205) 669-1066,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brierfield-AL
Paul's Diamond Center," 3582 Pelham Pkwy,"," Pelham,", AL , 35124,(205) 664-4400,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brierfield-AL
Soleil," 2834 Pelham Pkwy Ste E,"," Pelham,", AL , 35124,(205) 621-1700,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brierfield-AL
Temptations Jewelry Sales Inc," 999 Yeager Pkwy,"," Pelham,", AL , 35124,(205) 664-3700,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brierfield-AL
Alabama Gold Refinery," 2969 Pelham Pkwy,"," Pelham,", AL , 35124,(205) 533-8825,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brierfield-AL
Edwards Jewelers," 617 2nd Ave N,"," Clanton,", AL , 35045,(205) 755-4290,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brierfield-AL
Morlyn's," 621 2nd Ave N,"," Clanton,", AL , 35045,(205) 755-4340,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brierfield-AL
Main Street Jewelers," 605 2nd Ave N,"," Clanton,", AL , 35045,(205) 755-1656,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brierfield-AL
Southern Valley Pawn," 701 2nd Ave N,"," Clanton,", AL , 35045,(205) 755-4327,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brierfield-AL
Cash America Pawn," 1030 9th Ave N,"," Bessemer,", AL , 35020,(205) 428-6066,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brierfield-AL
Coin Castle West," 700 Academy Dr,"," Bessemer,", AL , 35022,(205) 426-3984,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brierfield-AL
D & M Davis Inc," 2 Western RD,"," Woodstock,", AL , 35188,(205) 938-0904,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brent-AL
"Elaine Davis, Independent Avon Representative"," 1712 Diane St,"," Cottondale,", AL , 35453,(205) 462-3678,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brent-AL
J & J Jewelry & Gift Shop," 1316 Main St,"," Greensboro,", AL , 36744,(334) 624-7103,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brent-AL
J & J Jewelry & Gift Shop," 1013 Centerville St,"," Greensboro,", AL , 36744,(334) 624-7103,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brent-AL
Tnt Coin Shop," 1212 Veterans Memorial Parkway , Tuscaloosa, AL 35404,"," Tuscaloosa,", AL , 35401,(205) 391-3091,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brent-AL
Hudson Poole Jewelers Inc," 1111 Greensboro Ave,"," Tuscaloosa,", AL , 35401,(205) 752-5535,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brent-AL
Gillis Jewelers," 1351 McFarland Blvd NE,"," Tuscaloosa,", AL , 35406,(205) 343-7465,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brent-AL
Zales," 1701 McFarland Blvd E,"," Tuscaloosa,", AL , 35404,(205) 462-2131,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brent-AL
Fincher & Ozment Jewelers," 1657 McFarland Blvd N Ste G3D,"," Tuscaloosa,", AL , 35406,(205) 752-3511,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brent-AL
Kay Jewelers," 1701 McFarland Blvd E Unit 179,"," Tuscaloosa,", AL , 35404,(205) 556-2825,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brent-AL
Everyday Indulgence," 2111 University Blvd,"," Tuscaloosa,", AL , 35401,(205) 759-5070,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brent-AL
Charming Charlie," 1800 McFarland, Suite 117,"," Tuscaloosa,", AL , 35404,(205) 344-6385,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brent-AL
Duet Art & Jewelry," 2113B University Blvd,"," Tuscaloosa,", AL , 35401,(205) 758-5388,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brent-AL
Burkhalter Jewelers," 2312 6th St,"," Tuscaloosa,", AL , 35401,(205) 758-5622,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brent-AL
cottonwood," 118 Bruner Avenue,"," Evergreen,", AL , 36401,(251) 593-1894,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brooklyn-AL
Fresh Produce," 1403 S Highway 21 Byp,"," Monroeville,", AL , 36460,(251) 575-5192,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brooklyn-AL
Alabama Precious Metal," 801 S Alabama Ave,"," Monroeville,", AL , 36460,(251) 743-4398,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brooklyn-AL
Johnson Jewelers," 56 E Claiborne St,"," Monroeville,", AL , 36460,(251) 743-2277,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brooklyn-AL
Hutcherson Jewelers," 23 Mayfield St,"," Monroeville,", AL , 36460,(251) 743-3681,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brooklyn-AL
AVON INDEPENDENT SALES REPRESENTATIVE," PO. Box 767,"," Excel,", AL , 36439,(251) 593-9430,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brooklyn-AL
Weaver's Apparel & Fine Jewelry," 115 Saint Joseph Ave,"," Brewton,", AL , 36426,(251) 867-4570,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brooklyn-AL
Treasure Chest," 111 Saint Joseph Ave,"," Brewton,", AL , 36426,(251) 867-9757,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brooklyn-AL
Len's Jewelers," 309 Palafox St,"," Flomaton,", AL , 36441,(251) 296-4574,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brooklyn-AL
Len's Jewelers," 22172 Highway 31,"," Flomaton,", AL , 36441,(251) 296-4574,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brooklyn-AL
K G Jewelry Repair," 116 W Commerce St,"," Greenville,", AL , 36037,(334) 382-4345,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brooklyn-AL
Mcferrins Jewelry," 114 E Commerce St,"," Greenville,", AL , 36037,(334) 382-7755,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brooklyn-AL
Young's Fashion," 116 Butler Sq,"," Greenville,", AL , 36037,(334) 382-6397,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brooklyn-AL
Cagle Jewelers & Goldsmithing," 101 S Cotton St,"," Andalusia,", AL , 36420,(334) 222-8888,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brooklyn-AL
Bryan Jewelry," 1876 E Main St,"," Prattville,", AL , 36066,(334) 517-0424,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Booth-AL
Zales," 2324 Hilltop Farm Rd,"," Prattville,", AL , 36067,(334) 277-4373,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Booth-AL
Rick's Jewelers," 1992 Highway 14 E,"," Prattville,", AL , 36066,(334) 361-7660,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Booth-AL
Southern Bullion Coin And Jewelry," 1963 Cobbs Ford Rd,"," Prattville,", AL , 36066,(334) 356-0741,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Booth-AL
Tiger Stripes," 136 Shady Oak Ln,"," Prattville,", AL , 36066,(334) 361-7216,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Booth-AL
Cheapskates East," 185 W Main St,"," Prattville,", AL , 36067,(334) 358-3400,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Booth-AL
Mack's Fine Jewelry Designs," 831 S Memorial Dr,"," Prattville,", AL , 36067,(334) 361-9001,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Booth-AL
Magic Pawn," 601 S Memorial Dr,"," Prattville,", AL , 36067,(334) 361-1122,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Booth-AL
Cloverdale Jewelers," 3326 Main St,"," Millbrook,", AL , 36054,(334) 201-8444,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Booth-AL
Joanna's Fine Jewelry & Gifts," 3571 Grandview Dr,"," Millbrook,", AL , 36054,(334) 285-1615,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Booth-AL
Charlotte's Jewelry," 8161 Vaughn Rd,"," Montgomery,", AL , 36116,(334) 396-1919,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Booth-AL
Cronier's Fine Jewelry," 2307 Eastern Blvd,"," Montgomery,", AL , 36117,(334) 272-4995,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Booth-AL
Cash America Pawn," 425 W Fairview Ave,"," Montgomery,", AL , 36105,(334) 530-5383,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Booth-AL
Best Pawn," 4448 Wetumpka Hwy,"," Montgomery,", AL , 36110,(334) 244-1919,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Booth-AL
Camden Jewelry & Gifts," 47 Camden Byp,"," Camden,", AL , 36726,(334) 682-4057,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boykin-AL
Roy's Fine Jewelry," 30 Broad St,"," Selma,", AL , 36701,(334) 872-4769,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boykin-AL
Truax & Co," 125 Broad St,"," Selma,", AL , 36701,(334) 874-9600,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boykin-AL
Gold Center," 1391 E Highland Ave Ste 137,"," Selma,", AL , 36703,(334) 877-1717,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boykin-AL
Jewelry Kingdom," 1391 E Highland Ave,"," Selma,", AL , 36703,(334) 875-3163,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boykin-AL
Lorch Diamond Center," 1391 E Highland Ave,"," Selma,", AL , 36703,(334) 874-4830,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boykin-AL
It's Fashion Metro," 1324 E Highland Ave,"," Selma,", AL , 36703,(334) 872-6130,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boykin-AL
Jessie James Jewelry," 1306 Water Ave,"," Selma,", AL , 36703,(334) 526-2355,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boykin-AL
Teja's," 121 Broad St,"," Selma,", AL , 36701,(334) 874-4616,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boykin-AL
Jewelry Center," 1391 E Highland Ave # 134A,"," Selma,", AL , 36703,(334) 875-3163,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boykin-AL
Holland Doris Diamond & Jewelry Salon," 2603 Citizens Pkwy,"," Selma,", AL , 36701,(334) 875-9201,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boykin-AL
Doris Hollands Diamond & Jwlry," 3573 County Road 65,"," Valley Grande,", AL , 36701,(334) 875-9201,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boykin-AL
Lisenbe Jeweler," 25 Wilson Ave W,"," Thomasville,", AL , 36784,(334) 636-4921,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boykin-AL
Watts Tim Jewelers," 29 Wilson Ave W,"," Thomasville,", AL , 36784,(334) 636-4921,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boykin-AL
Bonita Bell Jewelry," 70 Dicks Rd,"," Goshen,", AL , 36035,(334) 335-6040,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brantley-AL
Jewel Box," 328 Simmons St,"," Elba,", AL , 36323,(334) 897-2296,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brantley-AL
Nelson Gail," 1591 Caroline St,"," Elba,", AL , 36323,(334) 897-0992,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brantley-AL
Covington Jewelers Inc," 101 E Covington Ave,"," Opp,", AL , 36467,(334) 493-6466,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brantley-AL
K G Jewelry Repair," 116 W Commerce St,"," Greenville,", AL , 36037,(334) 382-4345,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brantley-AL
Mcferrins Jewelry," 114 E Commerce St,"," Greenville,", AL , 36037,(334) 382-7755,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brantley-AL
Young's Fashion," 116 Butler Sq,"," Greenville,", AL , 36037,(334) 382-6397,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brantley-AL
Cagle Jewelers & Goldsmithing," 101 S Cotton St,"," Andalusia,", AL , 36420,(334) 222-8888,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brantley-AL
Christopher's Diamonds and Fine Jewelry," 156 Covington Mall,"," Andalusia,", AL , 36420,(334) 222-4925,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brantley-AL
Cagle Jewelers & Goldsmithing," 118 E Three Notch St,"," Andalusia,", AL , 36420,(334) 222-8888,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brantley-AL
Sanders Fine Jewelry," 200 Westgate Plz,"," Andalusia,", AL , 36420,(334) 427-4367,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brantley-AL
Alabama Precious Metals," 1094 Dr M L K Jr Expy,"," Andalusia,", AL , 36420,(334) 582-1555,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brantley-AL
Christopher's Diamonds," 286B W Bypass,"," Andalusia,", AL , 36420,(334) 222-4925,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brantley-AL
Douglas Bros Jewelry & Gift Mart," 73 W Court Sq,"," Troy,", AL , 36081,(334) 566-1867,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Brantley-AL
AVON eRepresentative," 101 Holliday Cir,"," Livingston,", AL , 35470,(404) 702-0510,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boligee-AL
It's Fashion," 965 US Highway 80 W Ste 1500,"," Demopolis,", AL , 36732,(334) 289-0449,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boligee-AL
The Gold Mine," 306 US Highway 80 E,"," Demopolis,", AL , 36732,(334) 289-4653,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boligee-AL
J & J Jewelry & Gift Shop," 1316 Main St,"," Greensboro,", AL , 36744,(334) 624-7103,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boligee-AL
J & J Jewelry & Gift Shop," 1013 Centerville St,"," Greensboro,", AL , 36744,(334) 624-7103,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Boligee-AL
